parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mMBS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,
mMBS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,
meB,bruoder,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
myB,bruoder,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
meZ,swester,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
myZ,swester,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFeB,fetiro,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFyB,fetiro,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFeZ,basa,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFyZ,basa,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMeZ,muoma,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMyZ,muoma,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMeB,ōheim,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMyB,ōheim,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFeBS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFyBS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMeBS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMeBS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMyBS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMyBS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFBeS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mFByS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMBeS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMBeS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMByS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mMByS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fB,bruoder,,,,IE335,diepeveen_verwantschapstermen_2003,
fZ,swester,,,,IE335,diepeveen_verwantschapstermen_2003,
fF,fater,,,,IE335,diepeveen_verwantschapstermen_2003,
fM,muoter,,,,IE335,diepeveen_verwantschapstermen_2003,
fS,sun(u),,,,IE335,diepeveen_verwantschapstermen_2003,
fD,tohter,,,,IE335,diepeveen_verwantschapstermen_2003,
fFF,ano,,,,IE335,diepeveen_verwantschapstermen_2003,
fFM,ana,,,,IE335,diepeveen_verwantschapstermen_2003,
fMF,ano,,,,IE335,diepeveen_verwantschapstermen_2003,
fMM,ana,,,,IE335,diepeveen_verwantschapstermen_2003,
fSD,nift,,,,IE335,diepeveen_verwantschapstermen_2003,
fDD,nift,,,,IE335,diepeveen_verwantschapstermen_2003,
fFB,fetiro,,,,IE335,diepeveen_verwantschapstermen_2003,
fFZ,basa,,,,IE335,diepeveen_verwantschapstermen_2003,
fMB,ōheim,,,,IE335,diepeveen_verwantschapstermen_2003,
fMZ,muoma,,,,IE335,diepeveen_verwantschapstermen_2003,
fFBS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,
fMBS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,
fMBS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,
feB,bruoder,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fyB,bruoder,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
feZ,swester,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fyZ,swester,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFeB,fetiro,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFyB,fetiro,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFeZ,basa,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFyZ,basa,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMeZ,muoma,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMyZ,muoma,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMeB,ōheim,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMyB,ōheim,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFeBS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFyBS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMeBS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMeBS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMyBS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMyBS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFBeS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fFByS,fetirun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMBeS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMBeS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMByS,ōheimes-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
fMByS,muomun-sun,,,,IE335,diepeveen_verwantschapstermen_2003,Inferred; NA
mG,gi-swester,,,,IE335,miller_old_2015,
mF,fordoro,,,,IE335,miller_old_2015,
mC,kin(d),,,,IE335,miller_old_2015,
mC,barn,,,,IE335,miller_old_2015,
mS,(gom-man)kin(d),,,,IE335,miller_old_2015,
mFM,uota,,,,IE335,miller_old_2015,
mMM,uota,,,,IE335,miller_old_2015,
mSS,nevo,,,nefo,IE335,miller_old_2015,
mSS,eninkilī,,,,IE335,miller_old_2015,
mDS,nevo,,,nefo,IE335,miller_old_2015,
mDS,eninkilī,,,,IE335,miller_old_2015,
mMZ,muotera,,,,IE335,miller_old_2015,
mMZ,niftila,,,,IE335,miller_old_2015,
mBS,nevo,,,nefo,IE335,miller_old_2015,
mBD,nift(ila),,,,IE335,miller_old_2015,
mZS,nevo,,,nefo,IE335,miller_old_2015,
mZD,nift(ila),,,,IE335,miller_old_2015,
mFBS,feterin sun,,,,IE335,miller_old_2015,
mMBS,ōheimes-sun,,,,IE335,miller_old_2015,
mMZS,muomun-sun,,,,IE335,miller_old_2015,
mH,man,,,,IE335,miller_old_2015,
mH,hī(w)o,,,,IE335,miller_old_2015,
mH,gi-mahalo,,,,IE335,miller_old_2015,
mH,gom-man,,,,IE335,miller_old_2015,
mH,karl,,,,IE335,miller_old_2015,
mH,wirt,,,,IE335,miller_old_2015,
mW,quena,,,,IE335,miller_old_2015,
mW,wīb,,,,IE335,miller_old_2015,
mW,hī(w)a,,,,IE335,miller_old_2015,
mW,gi-mahala,,,,IE335,miller_old_2015,
mW,gi-māla,,,,IE335,miller_old_2015,
mW,gi-mahha,,,,IE335,miller_old_2015,
mW,wirtun,,,,IE335,miller_old_2015,
mW,winia,,,,IE335,miller_old_2015,
mWF,swehur,,,,IE335,miller_old_2015,
mWM,swigar,,,,IE335,miller_old_2015,
mSW,snur(a),,,,IE335,miller_old_2015,
mDH,eidum~eidim~eidem,,,,IE335,miller_old_2015,
mMeZ,muotera,,,,IE335,miller_old_2015,Inferred; NA
mMeZ,niftila,,,,IE335,miller_old_2015,Inferred; NA
mMyZ,muotera,,,,IE335,miller_old_2015,Inferred; NA
mMyZ,niftila,,,,IE335,miller_old_2015,Inferred; NA
meBS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
myBS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
meBD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
myBD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
meZS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
myZS,nevo,,,nefo,IE335,miller_old_2015,Inferred; NA
meZD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
myZD,nift(ila),,,,IE335,miller_old_2015,Inferred; NA
mFeBS,feterin-sun,,,,IE335,miller_old_2015,Inferred; NA
mFyBS,feterin-sun,,,,IE335,miller_old_2015,Inferred; NA
mFeBD,feterin tohter,,,,IE335,miller_old_2015,Inferred; NA
